Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Логист,/ru/vacancy/menedzher-po-logistike-logist~4763635,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""ARMA GRADE""","г. Алматы, Ауэзовский район",полный рабочий день,3 года стажа,высшее,от 350 000 до 500 000 тг.,Опубликовано 22.04.2025
Преподаватель по физической культуре,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tildi-dene-shynyktyru-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-prepodavatel-po-fizicheskoi-kulture~4763633",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Психолог,/ru/vacancy/psikholog-psikholog~4763629,Медицина и фармацевтика,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника № 18"" Управления общественного здравоохранения города Алматы","г. Алматы, Ауэзовский район",полный рабочий день,2 года стажа,высшее,от 250 000 тг.,Опубликовано 22.04.2025
Учитель химии,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-kazak-tildi-khimiya-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-khimii~4763624",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Учитель русского языка и литературы,/ru/vacancy/uchitel-russkogo-yazyka-i-literatury-s-gosudarstvennym-yazykom-obucheniya-uchitel-russkogo-yazyka-i-literatury~4763609,Образование и воспитание,"Коммунальное государственное учреждение ""Малоубинская средняя школа"" отдела образования по Глубоковскому району управления образования Восточно-Казахстанской области","Восточно-Казахстанская область, Глубоковский район, с.Малоубинка",полный рабочий день,1 год стажа,высшее,от 180 000 тг.,Опубликовано 22.04.2025
Учитель истории,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tilidi-tarikh-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-istorii~4763608",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Медицинская(ий) сестра/брат общей практики,/ru/vacancy/medicinskaya-sestra-medicinskaya(ii)-sestra-brat-obshchei-praktiki~4763597,Медицина и фармацевтика,"Товарищество с ограниченной ответственностью ""Казполиграф""","Область Абай, г.Семей",полный рабочий день,2 года стажа,техническое и профессиональное,от 150 000 тг.,Опубликовано 22.04.2025
Учитель физики,"/ru/vacancy/al-farabi-atyndagy-binom-school-mektep-liceiine-orys-tilidi-fizika-pani-mugalimi-kazhet,-rezyumengizdi-osy-saitka-zhiberingiz-https:--jumys.snation.kz-kz-tko-control-vacancies-58719-show-uchitel-fiziki~4763596",Образование и воспитание,"Товарищество с ограниченной ответственностью ""BINOM ATYRAU""","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 22.04.2025
Кассир,/ru/vacancy/dnevnoi-operator-kassir-na-azs.-2-2-s-9.00-utra-do-21.00-vechera-kassir~4763594,Финансы и бухучет,"Филиал ТОО ""БИЗНЕС ПЕТРОЛЕУМ"" в городе Астана",г.Астана,посменный,Без опыта работы,техническое и профессиональное,от 150 000 до 180 000 тг.,Опубликовано 22.04.2025
Заведующий складом,/ru/vacancy/zaveduyushchii-skladom-zaveduyushchii-skladom~4763590,Торговля и складирование,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной центр психического здоровья"" управления здравоохранения акимата Западно-Казахстанской области","Западно-Казахстанская область, г. Уральск",полный рабочий день,3 года стажа,техническое и профессиональное,от 128 869 до 187 889 тг.,Опубликовано 22.04.2025
